sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,18,,良好,4.1,0.19,22.7,15.3,,7,11.1,20.1,8.9,1.5,110,"2023/07/22 11:00:00",0.1,4.7,,0,121.760056,25.129167,1
汐止,新北市,18,,良好,1.2,0.27,29.2,12.3,17,5,11.7,16,4.3,1,86,"2023/07/22 11:00:00",0.1,4.7,15,1,121.64081,25.06624,2
萬里,新北市,14,,良好,2.1,0.25,33.8,15.7,18,4,3.9,5.7,1.7,2.7,50,"2023/07/22 11:00:00",0.1,4.2,11,1,121.689881,25.179667,3
新店,新北市,20,,良好,0.6,0.26,42.2,14.7,23,8,8.1,9.6,1.5,2,309,"2023/07/22 11:00:00",0.2,6.1,17,0,121.537778,24.977222,4
土城,新北市,13,,良好,0,0.21,35.9,11.6,,3,8.3,10.4,2,1.3,193,"2023/07/22 11:00:00",0.2,1,,1,121.451861,24.982528,5
板橋,新北市,20,,良好,1.2,0.28,40.1,17,17,7,9.6,10.6,1,0.4,252,"2023/07/22 11:00:00",0.2,6.1,14,0,121.458667,25.012972,6
新莊,新北市,22,,良好,1.3,0.28,33.7,17.4,24,10,10.9,12.8,1.9,2.7,12,"2023/07/22 11:00:00",0.2,6.9,19,1,121.4325,25.037972,7
菜寮,新北市,27,,良好,1.5,0.39,32.2,15.6,16,10,14.4,17.1,2.6,2.5,3,"2023/07/22 11:00:00",0.3,8.3,11,1,121.481028,25.06895,8
林口,新北市,17,,良好,1.3,0.16,29.2,16.4,16,4,5.3,6.5,1.2,1.8,348,"2023/07/22 11:00:00",0.2,5.3,13,1,121.36548982,25.07798949,9
淡水,新北市,18,,良好,2.3,0.16,38,19.1,15,6,5.5,6.7,1.2,,,"2023/07/22 11:00:00",0.2,4.6,15,1,121.449239,25.1645,10
士林,臺北市,36,,良好,0.9,0.24,33.9,15.4,29,20,12.7,15.1,2.3,3,335,"2023/07/22 11:00:00",0.1,11,15,0,121.51666356,25.10334003,11
中山,臺北市,33,,良好,1.3,0.5,38.6,15.4,23,7,20.1,26,5.9,2.1,358,"2023/07/22 11:00:00",0.3,5,16,1,121.526528,25.062361,12
萬華,臺北市,25,,良好,0.8,0.41,44.6,16.2,18,9,12.5,14.4,1.8,1,312,"2023/07/22 11:00:00",0.2,7.6,13,0,121.507972,25.046503,13
古亭,臺北市,18,,良好,1.2,0.33,42,14.6,18,9,10.9,12.8,1.8,1.3,161,"2023/07/22 11:00:00",0.2,5.5,13,0,121.529556,25.020608,14
松山,臺北市,25,,良好,0.6,0.33,32.7,12.4,17,8,15.9,20.4,4.5,0.4,350,"2023/07/22 11:00:00",0.2,3.5,11,0,121.578611,25.05,15
大同,臺北市,40,,良好,1.4,0.6,33.4,10.4,28,14,18.6,23.4,4.7,-,-,"2023/07/22 11:00:00",0.6,12.2,21,1,121.51342074,25.06331455,16
桃園,桃園市,20,,良好,0.5,0.17,25.4,13.7,20,5,7,8.3,1.2,1.5,323,"2023/07/22 11:00:00",0.2,6.1,17,1,121.30500531,24.9947107,17
大園,桃園市,18,,良好,0.7,0.13,27,14,14,4,3.2,4.9,1.7,3.2,246,"2023/07/22 11:00:00",0.1,5.6,15,1,121.20251473,25.06100357,18
觀音,桃園市,14,,良好,0.7,0.07,24.7,13.8,16,2,1.6,2.9,1.2,4.6,252,"2023/07/22 11:00:00",0.1,4.3,14,0,121.08283092,25.03556747,19
平鎮,桃園市,19,,良好,1.1,0.16,25.8,14.2,11,8,5.8,6.8,1,1.7,252,"2023/07/22 11:00:00",0.2,6,15,0,121.203986,24.952786,20
龍潭,桃園市,17,,良好,0.4,0.27,30.7,13.2,10,7,6.6,8.6,1.9,0.5,305,"2023/07/22 11:00:00",0.2,5.1,14,0,121.21645772,24.86400048,21
湖口,新竹縣,13,,良好,0.9,0.08,22.8,11.2,9,4,2.3,2.4,0.1,3.5,266,"2023/07/22 11:00:00",0.1,4,11,0,121.03886894,24.90009696,22
竹東,新竹縣,20,,良好,1.3,0.19,32.4,12.9,14,6,,,,2.9,231,"2023/07/22 11:00:00",0.1,6.3,17,0,121.08895493,24.74091408,23
新竹,新竹市,11,,良好,0.9,0.17,20.3,12.8,9,0,6,8.1,2.1,2.4,243,"2023/07/22 11:00:00",0.1,1.3,10,0,120.97236752,24.8056356,24
頭份,苗栗縣,16,,良好,1.4,0.14,24.4,14.2,13,6,1.7,4.3,2.5,3.1,277,"2023/07/22 11:00:00",0.1,4.5,16,1,120.89869286,24.69690679,25
苗栗,苗栗縣,,,,,,,,,,,,,,,"2023/07/22 11:00:00",,,,,120.82011468,24.56499183,26
三義,苗栗縣,16,,良好,2.1,0.26,20.7,15.6,17,11,6.8,9.5,2.6,2.8,300,"2023/07/22 11:00:00",0.1,4.9,11,0,120.75956754,24.38248443,27
豐原,臺中市,19,,良好,1.3,0.2,31.3,20.6,,7,5,6.6,1.6,1.8,258,"2023/07/22 11:00:00",0.2,5.2,,1,120.74252414,24.25699731,28
沙鹿,臺中市,16,,良好,1.1,0.14,26.7,17.5,18,3,3.4,4.7,1.2,1.8,218,"2023/07/22 11:00:00",0.1,3.9,14,1,120.568794,24.225628,29
大里,臺中市,20,,良好,1.4,0.15,34,22.3,16,6,5.2,6.8,1.6,3.1,269,"2023/07/22 11:00:00",0.1,3.6,14,1,120.67844444,24.09961111,30
忠明,臺中市,21,,良好,1.1,0.19,32,23.2,20,5,4.8,6.6,1.7,2.4,289,"2023/07/22 11:00:00",0.1,6.4,11,0,120.641092,24.151958,31
西屯,臺中市,21,,良好,0.7,0.12,29.8,20.1,18,9,3.2,5,1.7,2.4,290,"2023/07/22 11:00:00",0.1,6.4,14,0,120.616917,24.162197,32
彰化,彰化縣,48,,良好,1.1,0.15,25.5,21.1,54,27,4.9,7.4,2.5,1.9,303,"2023/07/22 11:00:00",0.1,14.8,26,1,120.541519,24.066,33
線西,彰化縣,30,,良好,1.2,0.09,23.6,21,16,8,2,3.5,1.4,2.9,283,"2023/07/22 11:00:00",0.1,9.3,14,1,120.469061,24.131672,34
二林,彰化縣,19,,良好,1.3,0.1,22.2,18.2,14,5,1.3,1.7,0.4,2.2,294,"2023/07/22 11:00:00",0.1,6,15,1,120.409653,23.925175,35
南投,南投縣,17,,良好,1,0.16,33.4,15.1,14,6,4.3,5.8,1.5,1.7,339,"2023/07/22 11:00:00",0.1,4.9,17,0,120.685306,23.913,36
斗六,雲林縣,19,,良好,1.3,0.12,36.9,20,15,4,1.7,3.2,1.5,2.9,325,"2023/07/22 11:00:00",0.1,4.1,15,1,120.544994,23.711853,37
崙背,雲林縣,16,,良好,1.4,0.11,17.6,17.3,21,5,2.1,3.1,1,1.9,315,"2023/07/22 11:00:00",0.1,4.1,15,1,120.348742,23.757547,38
新港,嘉義縣,31,,良好,1.2,0.12,33.6,24.7,21,9,1.4,2.1,0.7,2.1,301,"2023/07/22 11:00:00",0.1,9.5,16,0,120.345531,23.554839,39
朴子,嘉義縣,26,,良好,1.8,0.18,42.5,28.1,17,9,2.4,3.3,0.8,1.7,308,"2023/07/22 11:00:00",0.1,5.1,10,1,120.2478,23.46538,40
臺西,雲林縣,21,,良好,0.9,0.1,32,23,13,8,1.9,3.3,1.3,3.1,276,"2023/07/22 11:00:00",0.1,3.4,10,0,120.19933333,23.702175,41
嘉義,嘉義市,23,,良好,1.6,0.19,43.6,25.7,18,11,4.7,6.2,1.4,2.7,5,"2023/07/22 11:00:00",0.1,5.3,16,1,120.44125148,23.46477865,42
