國文,英文,數學,地理,歷史
95,62,53,68,93
86,99,54,98,94
55,74,71,68,55
53,86,59,80,98
51,98,53,98,57
88,81,59,77,73
57,72,86,96,77
87,74,62,95,83
98,100,87,79,82
65,70,84,56,54
82,57,90,80,94
79,85,70,77,89
100,70,56,83,70
99,61,52,88,90
79,93,87,87,100
55,91,100,66,72
100,52,71,70,74
55,75,79,89,92
84,58,91,61,85
63,85,88,51,88
82,56,100,53,78
65,65,79,54,78
77,75,61,93,78
52,92,60,77,77
89,71,52,76,62
50,81,91,53,65
92,96,51,93,65
66,72,75,91,53
83,51,52,69,83
50,62,76,89,98
95,54,63,74,87
58,97,98,83,70
79,98,99,68,88
65,54,93,68,83
90,68,56,61,97
81,78,60,90,92
92,74,100,89,73
87,62,86,93,59
82,84,91,62,66
85,89,65,91,66
55,89,61,88,84
97,64,50,71,67
78,100,50,84,72
61,59,50,51,99
59,50,96,50,62
56,50,86,60,57
56,64,84,88,72
54,58,71,83,98
90,98,88,96,76
72,65,86,72,92
